year,Country Pop,Hip Hop,Latin Pop,Pop,Pop Ballad,Pop Rap,Pop Rock,R&B,Rap,Rock
1980,0,0,0,1,1,0,3,1,0,4
1981,2,0,0,0,1,0,6,1,0,0
1982,0,0,0,2,0,0,5,1,0,2
1983,0,0,0,4,1,0,4,0,0,1
1984,0,0,0,3,0,0,2,3,0,2
1985,0,0,0,3,1,0,3,2,0,1
1986,0,0,0,3,1,0,3,2,0,1
1987,0,0,0,3,0,0,4,0,0,3
1988,0,0,0,4,1,0,3,0,0,2
1989,0,0,0,5,1,0,2,1,0,1
1990,0,0,0,2,2,0,2,2,0,2
1991,0,0,0,4,2,0,1,2,0,1
1992,0,2,0,1,2,0,0,4,0,1
1993,0,2,0,2,1,0,0,5,0,0
1994,0,0,0,3,3,0,2,2,0,0
1995,0,1,0,5,0,0,0,4,0,0
1996,0,1,1,3,1,0,1,3,0,0
1997,1,2,0,2,4,0,0,1,0,0
1998,2,0,0,2,2,0,1,3,0,0
1999,0,0,1,5,3,0,1,0,0,0
2000,2,0,2,2,1,0,2,1,0,0
2001,0,2,0,3,0,0,3,1,0,1
2002,0,2,0,1,0,0,1,3,0,3
2003,0,1,0,3,0,0,2,1,1,2
2004,0,3,0,3,0,0,1,3,0,0
2005,0,1,0,2,1,0,2,2,1,1
2006,0,4,1,3,1,0,0,1,0,0
2007,1,3,0,6,0,0,0,0,0,0
2008,0,2,0,0,3,0,1,4,0,0
2009,1,2,0,5,0,0,1,0,1,0
2010,1,0,0,7,0,2,0,0,0,0
2011,0,0,0,7,1,1,0,1,0,0
2012,0,0,0,9,0,1,0,0,0,0
2013,0,1,0,3,2,3,1,0,0,0
2014,0,1,0,4,2,2,1,0,0,0
2015,0,3,0,3,2,0,1,1,0,0
2016,0,1,0,7,1,0,1,0,0,0
2017,1,1,1,3,0,1,1,0,2,0
2018,0,0,1,3,1,4,0,0,1,0
2019,0,0,0,6,0,3,0,0,1,0
2020,1,0,0,5,1,2,0,0,1,0
